Step,CPU,Atoms,v_ncross1,v_ncross2,v_ncheater,v_ndead,v_mass
123,206.5737,9356,3097,3175,3084,0,4.24E-12
124,209.9744,9565,3158,3249,3158,0,4.33E-12
125,213.37995,9770,3220,3318,3232,0,4.42E-12
126,216.79619,9979,3286,3397,3296,0,4.51E-12
127,220.26623,10188,3348,3477,3363,0,4.60E-12
128,223.76923,10397,3412,3543,3442,0,4.69E-12
129,227.25052,10595,3473,3606,3516,0,4.78E-12
130,230.897,10770,3513,3669,3588,0,4.87E-12
131,234.42486,10975,3588,3717,3670,0,4.96E-12
132,238.0268,11170,3641,3786,3743,0,5.04E-12
133,241.58417,11360,3709,3839,3812,0,5.13E-12
134,245.20665,11543,3774,3890,3879,0,5.22E-12
135,248.78939,11716,3826,3931,3959,0,5.30E-12
136,252.45266,11888,3875,3989,4024,0,5.39E-12
137,256.13529,12066,3941,4028,4097,0,5.47E-12
138,259.82825,12255,4003,4086,4166,0,5.55E-12
139,263.56221,12437,4054,4147,4236,0,5.64E-12
140,267.32051,12656,4126,4205,4325,0,5.72E-12
141,271.08634,12834,4184,4263,4387,0,5.80E-12
142,274.89408,13012,4230,4309,4473,0,5.88E-12
143,278.71055,13194,4271,4366,4557,0,5.96E-12
144,282.5453,13343,4317,4413,4613,0,6.04E-12
145,286.38927,13527,4382,4468,4677,0,6.12E-12
146,290.25106,13704,4431,4523,4750,0,6.20E-12
147,294.12127,13876,4493,4571,4812,0,6.28E-12
148,298.03118,14053,4528,4631,4894,0,6.36E-12
149,301.96624,14233,4580,4678,4975,0,6.43E-12
150,305.92613,14401,4626,4715,5060,0,6.51E-12
151,309.79231,14573,4676,4769,5128,0,6.59E-12
152,313.76705,14739,4721,4811,5207,0,6.66E-12
153,317.51769,14896,4779,4846,5271,0,6.74E-12
154,321.45678,15079,4832,4895,5352,0,6.81E-12
155,325.48386,15256,4880,4946,5430,0,6.88E-12
156,329.42918,15447,4932,5004,5511,0,6.96E-12
157,333.408,15626,4980,5049,5597,0,7.03E-12
158,337.38116,15753,5008,5097,5648,0,7.10E-12
159,341.28139,15931,5058,5163,5710,0,7.17E-12
160,345.36103,16110,5113,5201,5796,0,7.24E-12
161,349.15328,16252,5160,5243,5849,0,7.31E-12
162,353.13865,16404,5204,5286,5914,0,7.38E-12
163,357.10653,16568,5243,5347,5978,0,7.45E-12
164,360.9906,16739,5291,5396,6052,0,7.52E-12
165,365.01257,16897,5338,5452,6107,0,7.59E-12
166,368.97814,17050,5386,5498,6166,0,7.65E-12
167,372.7829,17194,5425,5539,6230,0,7.72E-12
168,376.78788,17327,5467,5569,6291,0,7.78E-12
169,380.68249,17475,5511,5614,6350,0,7.85E-12
170,384.70425,17633,5559,5653,6421,0,7.91E-12
171,388.79291,17793,5604,5703,6486,0,7.98E-12
172,392.82816,17936,5649,5747,6540,0,8.04E-12
173,396.87749,18073,5693,5787,6593,0,8.11E-12
174,400.91984,18221,5732,5830,6659,0,8.17E-12
175,405.09324,18375,5781,5879,6715,0,8.23E-12
176,409.08438,18508,5824,5921,6763,0,8.29E-12
177,413.09088,18645,5863,5957,6825,0,8.35E-12
178,417.28368,18785,5900,5993,6892,0,8.41E-12
179,421.2602,18942,5939,6041,6962,0,8.47E-12
180,425.38295,19088,5982,6081,7025,0,8.53E-12
181,429.47306,19239,6030,6124,7085,0,8.59E-12
182,433.52808,19393,6073,6159,7161,0,8.65E-12
183,437.6581,19511,6113,6191,7207,0,8.71E-12
184,441.70915,19673,6153,6240,7280,0,8.76E-12
185,445.69374,19838,6199,6294,7345,0,8.82E-12
186,449.91209,19982,6242,6340,7400,0,8.88E-12
187,454.10551,20139,6289,6389,7461,0,8.93E-12
188,458.31541,20283,6333,6427,7523,0,8.99E-12
189,462.57309,20398,6365,6466,7567,0,9.04E-12
190,466.78538,20550,6415,6517,7618,0,9.10E-12
191,471.15803,20685,6462,6546,7677,0,9.15E-12
192,475.50193,20849,6515,6596,7738,0,9.20E-12
193,479.85238,20997,6566,6635,7796,0,9.26E-12
194,484.15621,21136,6606,6677,7853,0,9.31E-12
195,488.52026,21267,6640,6732,7895,0,9.36E-12
196,492.96499,21402,6681,6769,7952,0,9.41E-12
197,497.31193,21541,6724,6814,8003,0,9.47E-12
198,501.69432,21685,6766,6853,8066,0,9.52E-12
199,506.04642,21834,6805,6896,8133,0,9.57E-12
200,510.48396,21977,6848,6938,8191,0,9.62E-12
201,514.9102,22124,6890,6987,8247,0,9.67E-12
202,519.44436,22281,6943,7030,8308,0,9.71E-12
203,523.89104,22442,6994,7073,8375,0,9.76E-12
204,528.37989,22575,7036,7103,8436,0,9.81E-12
205,532.79654,22725,7081,7150,8494,0,9.86E-12
206,537.29283,22879,7122,7200,8557,0,9.91E-12
207,541.8533,23043,7177,7239,8627,0,9.95E-12
208,546.3947,23177,7217,7275,8685,0,1.00E-11
209,550.97997,23298,7253,7313,8732,0,1.00E-11
210,555.59421,23450,7295,7363,8792,0,1.01E-11
211,560.25606,23592,7334,7411,8847,0,1.01E-11
212,564.9016,23723,7375,7447,8901,0,1.02E-11
213,569.54456,23858,7413,7489,8956,0,1.02E-11
