Step,CPU,Atoms,v_ncross1,v_ncross2,v_ncheater,v_ndead,v_mass
122,156.60139,9178,3038,3127,3013,0,4.14E-12
123,159.15997,9375,3104,3189,3082,0,4.24E-12
124,161.70739,9590,3167,3262,3161,0,4.33E-12
125,164.28754,9775,3217,3331,3227,0,4.42E-12
126,166.83628,9978,3275,3395,3308,0,4.51E-12
127,169.43004,10184,3333,3471,3380,0,4.60E-12
128,171.99473,10381,3397,3531,3453,0,4.69E-12
129,174.587,10589,3466,3595,3528,0,4.78E-12
130,177.24864,10750,3521,3637,3592,0,4.87E-12
131,179.85843,10931,3583,3688,3660,0,4.95E-12
132,182.49142,11116,3649,3738,3729,0,5.04E-12
133,185.08902,11312,3708,3801,3803,0,5.13E-12
134,187.6909,11488,3759,3859,3870,0,5.21E-12
135,190.34211,11674,3819,3918,3937,0,5.30E-12
136,193.01269,11882,3872,3977,4033,0,5.38E-12
137,195.69607,12082,3931,4028,4123,0,5.47E-12
138,198.38343,12269,3982,4079,4208,0,5.55E-12
139,201.0553,12469,4035,4147,4287,0,5.64E-12
140,203.76914,12664,4102,4197,4365,0,5.72E-12
141,206.4713,12856,4176,4257,4423,0,5.80E-12
142,209.24296,13036,4230,4313,4493,0,5.88E-12
143,211.96565,13220,4288,4367,4565,0,5.96E-12
144,214.68868,13386,4342,4411,4633,0,6.04E-12
145,217.43156,13555,4388,4463,4704,0,6.12E-12
146,220.16775,13729,4445,4506,4778,0,6.20E-12
147,222.91258,13897,4489,4556,4852,0,6.28E-12
148,225.64773,14078,4534,4603,4941,0,6.36E-12
149,228.40605,14252,4596,4663,4993,0,6.43E-12
150,231.19248,14415,4641,4719,5055,0,6.51E-12
151,233.97507,14572,4682,4771,5119,0,6.58E-12
152,236.76911,14750,4736,4827,5187,0,6.66E-12
153,239.42089,14902,4780,4872,5250,0,6.73E-12
154,242.1677,15077,4833,4927,5317,0,6.81E-12
155,244.88656,15237,4882,4978,5377,0,6.88E-12
156,247.58157,15388,4922,5014,5452,0,6.95E-12
157,250.34057,15541,4961,5063,5517,0,7.03E-12
158,253.07405,15711,4998,5114,5599,0,7.10E-12
159,255.86307,15887,5050,5158,5679,0,7.17E-12
160,258.67306,16057,5107,5215,5735,0,7.24E-12
161,261.38157,16175,5139,5251,5785,0,7.31E-12
162,264.26802,16356,5191,5301,5864,0,7.38E-12
163,267.1655,16497,5223,5345,5929,0,7.45E-12
164,270.03055,16677,5267,5405,6005,0,7.51E-12
165,272.87574,16842,5320,5454,6068,0,7.58E-12
